Time [us],MIDI IN 2-Piano,MIDI IN 3-PC
12192684,1,0
12192690,1,1
12192754,1,0
12192974,1,0
12193043,1,1
12193102,1,1
12193106,1,0
12193168,1,0
12193171,1,1
12193230,1,1
12193234,1,0
12193265,1,0
12193267,1,1
12193327,1,1
12193330,1,0
12193358,1,0
12193363,1,1
12193424,1,1
12193459,1,0
12193491,1,1
12193523,1,0
12193587,1,1
12193648,1,1
12193679,1,1
12193710,1,1
12193715,1,0
12193741,1,0
12193747,1,1
12193811,1,0
12194032,1,0
12194100,1,1
12194160,1,1
12194163,1,0
12194196,1,1
12194225,1,1
12194287,1,1
12194291,1,0
12194322,1,0
12194356,1,1
12194384,1,1
12194415,1,1
12194481,1,1
12194512,1,1
12194516,1,0
12194543,1,0
12194609,1,0
12194737,1,0
12194768,1,0
12194799,1,0
12194804,1,1
12194868,1,0
12195089,1,0
12195093,1,1
12195124,1,0
12195157,1,1
12195213,1,1
12195220,1,0
12195248,1,0
12195253,1,1
12195341,1,1
12195348,1,0
12195381,1,1
12195407,1,1
12195444,1,0
12195477,1,1
12195535,1,1
12195573,1,0
12195605,1,1
12195637,1,0
12195821,1,0
12195852,1,0
12195861,1,1
12195925,1,0
12196077,1,0
12196112,1,0
12196143,1,0
12196214,1,1
12196271,1,1
12196277,1,0
12196305,1,0
12196310,1,1
12196398,1,1
12196405,1,0
12196433,1,0
12196438,1,1
12196495,1,1
12196501,1,0
12196526,1,0
12196534,1,1
12196592,1,1
12196623,1,1
12196630,1,0
12196654,1,0
12196854,1,1
12196879,1,1
12196886,1,0
12196910,1,0
12196918,1,1
12196982,1,0
12197200,1,0
12197271,1,1
12197332,1,1
12197334,1,0
12197363,1,0
12197367,1,1
12197460,1,1
12197462,1,0
12197491,1,0
12197495,1,1
12197553,1,1
12197558,1,0
12197588,1,0
12197591,1,1
12197650,1,1
12197687,1,0
12197719,1,1
12197751,1,0
12197815,1,1
12197874,1,1
12197905,1,1
12197940,1,1
12197943,1,0
12197971,1,0
12197975,1,1
12198039,1,0
12198258,1,0
12198328,1,1
12198386,1,1
12198391,1,0
12198420,1,0
12198513,1,0
12198520,1,1
12198548,1,1
12198551,1,0
12198584,1,1
12198610,1,1
12198641,1,1
12198707,1,1
12198738,1,1
12198743,1,0
12198769,1,0
12198835,1,0
12198963,1,0
12198994,1,0
12199025,1,0
12199032,1,1
12199096,1,0
12199315,1,0
12199321,1,1
12199352,1,0
12199385,1,1
12199443,1,1
12199448,1,0
12199571,1,0
12199577,1,1
12199606,1,1
12199637,1,1
12199672,1,0
12199705,1,1
12199765,1,1
12199800,1,0
12199833,1,1
12199864,1,0
12200051,1,0
12200082,1,0
12200089,1,1
12200153,1,0
12200307,1,0
