Time [s],MIDI IN 2-Piano,MIDI IN 3-PC,MIDI OUT 2-Synth,MIDI OUT 3-No Load,Channel 4,Channel 5,Channel 6,Channel 7
9.916780000,1,1,1,1,1,1,1,1
9.916786000,1,0,1,1,1,1,1,1
9.916811000,1,0,0,1,1,1,1,1
9.916819000,1,1,0,1,1,1,1,1
9.916883000,1,0,0,1,1,1,1,1
9.917101000,1,0,1,1,1,1,1,1
9.917172000,1,1,1,1,1,1,1,1
9.917229000,1,1,0,1,1,1,1,1
9.917235000,1,0,0,1,1,1,1,1
9.917264000,1,0,1,1,1,1,1,1
9.917268000,1,1,1,1,1,1,1,1
9.917326000,1,1,0,1,1,1,1,1
9.917331000,1,0,0,1,1,1,1,1
9.917357000,1,0,1,1,1,1,1,1
9.917364000,1,1,1,1,1,1,1,1
9.917454000,1,1,0,1,1,1,1,1
9.917459000,1,0,0,1,1,1,1,1
9.917485000,1,0,1,1,1,1,1,1
9.917492000,1,1,1,1,1,1,1,1
9.917551000,1,1,0,1,1,1,1,1
9.917587000,1,0,0,1,1,1,1,1
9.917620000,1,1,0,1,1,1,1,1
9.917651000,1,0,0,1,1,1,1,1
9.917716000,1,1,0,1,1,1,1,1
9.917775000,1,1,1,1,1,1,1,1
9.917806000,1,1,0,1,1,1,1,1
9.917837000,1,1,1,1,1,1,1,1
9.917843000,1,0,1,1,1,1,1,1
9.917868000,1,0,0,1,1,1,1,1
9.917876000,1,1,0,1,1,1,1,1
9.917940000,1,0,0,1,1,1,1,1
9.918159000,1,0,1,1,1,1,1,1
9.918229000,1,1,1,1,1,1,1,1
9.918290000,1,1,0,1,1,1,1,1
9.918292000,1,0,0,1,1,1,1,1
9.918321000,1,0,1,1,1,1,1,1
9.918383000,1,0,0,1,1,1,1,1
9.918389000,1,1,0,1,1,1,1,1
9.918418000,1,1,1,1,1,1,1,1
9.918452000,1,0,1,1,1,1,1,1
9.918485000,1,1,1,1,1,1,1,1
9.918511000,1,1,0,1,1,1,1,1
9.918546000,1,1,1,1,1,1,1,1
9.918608000,1,1,0,1,1,1,1,1
9.918639000,1,1,1,1,1,1,1,1
9.918644000,1,0,1,1,1,1,1,1
9.918674000,1,0,0,1,1,1,1,1
9.918736000,1,0,1,1,1,1,1,1
9.918864000,1,0,0,1,1,1,1,1
9.918899000,1,0,1,1,1,1,1,1
9.918930000,1,0,0,1,1,1,1,1
9.918933000,1,1,0,1,1,1,1,1
9.918997000,1,0,0,1,1,1,1,1
9.919216000,1,0,1,1,1,1,1,1
9.919222000,1,1,1,1,1,1,1,1
9.919253000,1,0,1,1,1,1,1,1
9.919286000,1,1,1,1,1,1,1,1
9.919344000,1,1,0,1,1,1,1,1
9.919349000,1,0,0,1,1,1,1,1
9.919441000,1,0,1,1,1,1,1,1
9.919446000,1,1,1,1,1,1,1,1
9.919507000,1,1,0,1,1,1,1,1
9.919538000,1,1,1,1,1,1,1,1
9.919573000,1,0,1,1,1,1,1,1
9.919606000,1,1,1,1,1,1,1,1
9.919666000,1,1,0,1,1,1,1,1
9.919701000,1,0,0,1,1,1,1,1
9.919734000,1,1,0,1,1,1,1,1
9.919765000,1,0,0,1,1,1,1,1
9.919952000,1,0,1,1,1,1,1,1
9.919983000,1,0,0,1,1,1,1,1
9.919990000,1,1,0,1,1,1,1,1
9.920054000,1,0,0,1,1,1,1,1
9.920208000,1,0,1,1,1,1,1,1
9.920243000,1,0,0,1,1,1,1,1
9.920274000,1,0,1,1,1,1,1,1
9.920343000,1,1,1,1,1,1,1,1
9.920402000,1,1,0,1,1,1,1,1
9.920406000,1,0,0,1,1,1,1,1
9.920498000,1,0,1,1,1,1,1,1
9.920503000,1,1,1,1,1,1,1,1
9.920626000,1,1,0,1,1,1,1,1
9.920630000,1,0,0,1,1,1,1,1
9.920657000,1,0,1,1,1,1,1,1
9.920663000,1,1,1,1,1,1,1,1
9.920723000,1,1,0,1,1,1,1,1
9.920754000,1,1,1,1,1,1,1,1
9.920758000,1,0,1,1,1,1,1,1
9.920785000,1,0,0,1,1,1,1,1
9.920983000,1,1,0,1,1,1,1,1
9.921010000,1,1,1,1,1,1,1,1
9.921014000,1,0,1,1,1,1,1,1
9.921041000,1,0,0,1,1,1,1,1
9.921047000,1,1,0,1,1,1,1,1
9.921111000,1,0,0,1,1,1,1,1
9.921331000,1,0,1,1,1,1,1,1
9.921400000,1,1,1,1,1,1,1,1
9.921459000,1,1,0,1,1,1,1,1
9.921463000,1,0,0,1,1,1,1,1
9.921556000,1,0,1,1,1,1,1,1
9.921560000,1,1,1,1,1,1,1,1
9.921684000,1,1,0,1,1,1,1,1
9.921687000,1,0,0,1,1,1,1,1
9.921715000,1,0,1,1,1,1,1,1
9.921720000,1,1,1,1,1,1,1,1
9.921780000,1,1,0,1,1,1,1,1
9.921815000,1,0,0,1,1,1,1,1
9.921848000,1,1,0,1,1,1,1,1
9.921879000,1,0,0,1,1,1,1,1
9.921944000,1,1,0,1,1,1,1,1
9.922005000,1,1,1,1,1,1,1,1
9.922036000,1,1,0,1,1,1,1,1
9.922067000,1,1,1,1,1,1,1,1
9.922071000,1,0,1,1,1,1,1,1
9.922098000,1,0,0,1,1,1,1,1
9.922104000,1,1,0,1,1,1,1,1
9.922168000,1,0,0,1,1,1,1,1
9.922389000,1,0,1,1,1,1,1,1
9.922457000,1,1,1,1,1,1,1,1
9.922513000,1,1,0,1,1,1,1,1
9.922520000,1,0,0,1,1,1,1,1
9.922553000,1,1,0,1,1,1,1,1
9.922584000,1,0,0,1,1,1,1,1
9.922609000,1,0,1,1,1,1,1,1
9.922617000,1,1,1,1,1,1,1,1
9.922680000,1,0,1,1,1,1,1,1
9.922713000,1,1,1,1,1,1,1,1
9.922737000,1,1,0,1,1,1,1,1
9.922768000,1,1,1,1,1,1,1,1
9.922834000,1,1,0,1,1,1,1,1
9.922865000,1,1,1,1,1,1,1,1
9.922872000,1,0,1,1,1,1,1,1
9.922896000,1,0,0,1,1,1,1,1
9.922962000,1,0,1,1,1,1,1,1
9.923090000,1,0,0,1,1,1,1,1
9.923121000,1,0,1,1,1,1,1,1
9.923152000,1,0,0,1,1,1,1,1
9.923161000,1,1,0,1,1,1,1,1
9.923225000,1,0,0,1,1,1,1,1
9.923442000,1,0,1,1,1,1,1,1
9.923450000,1,1,1,1,1,1,1,1
9.923481000,1,0,1,1,1,1,1,1
9.923514000,1,1,1,1,1,1,1,1
9.923570000,1,1,0,1,1,1,1,1
9.923577000,1,0,0,1,1,1,1,1
9.923605000,1,0,1,1,1,1,1,1
9.923610000,1,1,1,1,1,1,1,1
9.923636000,1,1,0,1,1,1,1,1
9.923641000,1,0,0,1,1,1,1,1
9.923667000,1,0,1,1,1,1,1,1
9.923674000,1,1,1,1,1,1,1,1
9.923733000,1,1,0,1,1,1,1,1
9.923764000,1,1,1,1,1,1,1,1
9.923801000,1,0,1,1,1,1,1,1
9.923834000,1,1,1,1,1,1,1,1
9.923892000,1,1,0,1,1,1,1,1
9.923929000,1,0,0,1,1,1,1,1
9.923962000,1,1,0,1,1,1,1,1
9.923993000,1,0,0,1,1,1,1,1
9.924178000,1,0,1,1,1,1,1,1
9.924209000,1,0,0,1,1,1,1,1
9.924218000,1,1,0,1,1,1,1,1
9.924282000,1,0,0,1,1,1,1,1
9.924434000,1,0,1,1,1,1,1,1
9.924469000,1,0,0,1,1,1,1,1
9.924500000,1,0,1,1,1,1,1,1
9.924571000,1,1,1,1,1,1,1,1
